,transaction_id,customer_id,timestamp,merchant_category,merchant_type,merchant,amount,currency,channel,transaction_hour,weekend_transaction
807,TX_34e5fdbe,CUST_91730,2024-09-30 00:09:19.740736+00:00,Gas,local,Highway Gas Stop,674.52,SGD,web,0,False
1592,TX_dd853c59,CUST_91730,2024-09-30 00:18:31.637046+00:00,Healthcare,medical,Urgent Care,11148.11,BRL,pos,0,False
1912,TX_4e3ca628,CUST_91730,2024-09-30 00:22:19.410042+00:00,Entertainment,events,AMC Theaters,1040.36,SGD,web,0,False
5743,TX_5cce5b20,CUST_91730,2024-09-30 01:04:34.491393+00:00,Entertainment,events,StubHub,31446.25,RUB,web,1,False
7245,TX_4ca93a45,CUST_91730,2024-09-30 01:14:54.399795+00:00,Restaurant,fast_food,Wendy's,9.11,BRL,mobile,1,False
9799,TX_abb5509f,CUST_91730,2024-09-30 01:31:50.426678+00:00,Restaurant,premium,Ruth's Chris,46322.96,MXN,web,1,False
11247,TX_c817785c,CUST_91730,2024-09-30 01:41:50.393584+00:00,Travel,airlines,American Airlines,2661.34,SGD,web,1,False
14220,TX_0deb67fc,CUST_91730,2024-09-30 02:01:47.868070+00:00,Grocery,online,Amazon Fresh,439.35,JPY,pos,2,False
14232,TX_15ab21d6,CUST_91730,2024-09-30 02:01:52.577891+00:00,Grocery,online,Amazon Fresh,3279.21,BRL,mobile,2,False
15652,TX_8ee26a94,CUST_91730,2024-09-30 02:11:12.673058+00:00,Entertainment,events,StubHub,1351.85,GBP,web,2,False
16120,TX_ac1cd4a0,CUST_91730,2024-09-30 02:14:18.484956+00:00,Retail,online,Amazon,56030.02,MXN,pos,2,False
19220,TX_16837bdb,CUST_91730,2024-09-30 02:35:03.545722+00:00,Healthcare,pharmacy,CVS Pharmacy,1153.96,SGD,web,2,False
19619,TX_68747c10,CUST_91730,2024-09-30 02:37:45.030701+00:00,Grocery,physical,Aldi,8804.3,MXN,pos,2,False
20305,TX_a6dbd7ae,CUST_91730,2024-09-30 02:42:11.391154+00:00,Travel,airlines,Emirates,39944.69,RUB,web,2,False
20912,TX_cc92d9f1,CUST_91730,2024-09-30 02:46:25.243212+00:00,Healthcare,medical,Medical Center,30603.58,RUB,web,2,False
21260,TX_00c84ded,CUST_91730,2024-09-30 02:48:38.600074+00:00,Gas,major,Mobil,2136.85,SGD,web,2,False
21342,TX_9fb360d6,CUST_91730,2024-09-30 02:49:11.774392+00:00,Travel,transport,Hertz,10786.08,RUB,web,2,False
28104,TX_1842f1e4,CUST_91730,2024-09-30 03:34:21.324504+00:00,Entertainment,gaming,PlayStation Store,33444.89,RUB,mobile,3,False
28723,TX_cb65d02f,CUST_91730,2024-09-30 03:38:32.409277+00:00,Retail,online,Etsy,1431.22,SGD,web,3,False
31936,TX_a5227cc9,CUST_91730,2024-09-30 03:59:23.399089+00:00,Grocery,online,Walmart Grocery,559.7,CAD,web,3,False
33489,TX_e4359f6e,CUST_91730,2024-09-30 04:09:51.514806+00:00,Entertainment,gaming,Xbox Live,1449.71,BRL,pos,4,False
33654,TX_3bd38b73,CUST_91730,2024-09-30 04:11:01.420519+00:00,Education,online,Skillshare,11845.59,BRL,mobile,4,False
34238,TX_a08f2f26,CUST_91730,2024-09-30 04:15:13.634680+00:00,Healthcare,medical,Medical Center,7217.24,BRL,pos,4,False
35328,TX_42f18164,CUST_91730,2024-09-30 04:22:21.538778+00:00,Education,online,Udemy,2006.24,SGD,web,4,False
41191,TX_2d664f4c,CUST_91730,2024-09-30 05:01:39.532174+00:00,Gas,local,Highway Gas Stop,27141.73,RUB,web,5,False
42542,TX_fa56316a,CUST_91730,2024-09-30 05:14:27.396990+00:00,Retail,physical,Walmart,601431.75,NGN,mobile,5,False
44678,TX_926025b3,CUST_91730,2024-09-30 05:33:14.441040+00:00,Restaurant,premium,Ruth's Chris,1969.59,AUD,web,5,False
